Run	OUT_Run
SRR9691028	SRR9691028_aqua_Abundance
SRR10063242	SRR10063242_aqua_Not
SRR10363848	SRR10363848_land_Abundance
SRR24044300	SRR24044300_land_Abundance
SRR10156269	SRR10156269_aqua_Abundance
ERR4234200	ERR4234200_aqua_Abundance
SRR7499979	SRR7499979_aqua_Abundance
SRR8542065	SRR8542065_land_Abundance
SRR23318458	SRR23318458_aqua_Not
SRR15947156	SRR15947156_land_Abundance
SRR23684492	SRR23684492_aqua_Abundance
SRR2080315	SRR2080315_land_Not
SRR19666934	SRR19666934_aqua_Abundance
SRR24044317	SRR24044317_land_Abundance
SRR4142430	SRR4142430_land_Abundance
SRR10420860	SRR10420860_aqua_Not
SRR10968219	SRR10968219_aqua_Abundance
SRR17938982	SRR17938982_land_Abundance
SRR8127590	SRR8127590_land_Abundance
ERR3609907	ERR3609907_land_Not
SRR14458713	SRR14458713_land_Abundance
SRR17204929	SRR17204929_land_Abundance
SRR17204922	SRR17204922_land_Abundance
SRR23345828	SRR23345828_land_Not
SRR23604822	SRR23604822_aqua_Abundance
SRR13882929	SRR13882929_land_Not
SRR23651778	SRR23651778_land_Abundance
SRR6053203	SRR6053203_land_Not
SRR17204928	SRR17204928_land_Abundance
SRR21860269	SRR21860269_land_Abundance
SRR6987782	SRR6987782_land_Not
SRR23684459	SRR23684459_aqua_Abundance
SRR19161326	SRR19161326_land_Abundance
SRR14301320	SRR14301320_land_Abundance
