gene_name	category
CAG2320251.1	MHET_I
AOI74465.1	MHET_I
AOJ66988.1	MHET_I
AOJ77450.1	MHET_I
AOK63434.1	MHET_I
QQC06921.1	MHET_I
QQJ99373.1	MHET_I
UEP23908.1	MHET_I
UEP36763.1	MHET_I
UEP51309.1	MHET_I
QQK05786.1	MHET_I
QTD92928.1	MHET_I
CAR56651.1	MHET_I
ABO56831.1	MHET_I
ABK12364.1	MHET_I
BAG47144.1	MHET_I
ACB67903.1	MHET_I
ACA93737.1	MHET_I
AFJ87863.1	MHET_I
ABB10172.1	MHET_I
AOJ43294.1	MHET_I
AYQ41966.1	MHET_I
AOK08482.1	MHET_I
QTO45485.1	MHET_I
AKM41805.1	MHET_I
AOL08061.1	MHET_I
QDS29979.1	MHET_I
UUX40729.1	MHET_I
AOJ36135.1	MHET_I
UTV59042.1	MHET_I
QTO21483.1	MHET_I
AOI61068.1	MHET_I
ALK20963.1	MHET_I
AEA62715.1	MHET_I
AFQ52003.1	MHET_I
CDN64503.1	MHET_I
QDW52078.1	MHET_I
AOI87352.1	MHET_I
AIS90989.1	MHET_I
AJX92792.1	MHET_I
AJX13494.1	MHET_I
AIP53765.1	MHET_I
AOK57338.1	MHET_I
AOI63960.1	MHET_I
AOI76936.1	MHET_I
AOI94218.1	MHET_I
AOJ90308.1	MHET_I
AXK63688.1	MHET_I
UKD13754.1	MHET_I
AWV02766.1	MHET_I
QMI48416.1	MHET_I
QRR08360.1	MHET_I
UVE56182.1	MHET_I
UEP44244.1	MHET_I
QBG84852.1	MHET_I
GAP38911.1	MHET_I
ACB78431.1	MHET_I
CCA92157.1	MHET_I
QGZ42843.1	MHET_I
ASG22525.1	MHET_I
AUN32344.1	MHET_I
QQK37368.1	MHET_I
UNK03423.1	MHET_I
AZG10270.1	MHET_I
QNU64309.1	MHET_I
