SAMN31864664	not applicable 	mud volcano 	2014-09-10 	China:Junggar Basin,Aiqigou mud volcano	44.19 N 84.50 E	
SAMEA7723907	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s020 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723907 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s020 	184.0 	98.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.389389 	1.00 	-155.25 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	20 	
SAMEA7724106	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s019 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7724106 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T01:23:53Z 	public 	qiita_sid_13114:13114.king.27.s019 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	EMP_Feces_king_27_s019_a03_M_223 	223 	19.389389 	1.00 	Bulk_201901_UCSD 	-155.25 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	19 	1 	
SAMEA7723435	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Thermal.2.0_2 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s018 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723435 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:03Z 	public 	qiita_sid_13114:13114.king.27.s018 	68.77116463155835 	68.77116463155835 	329.0 	2.4340359463311807 	43.10267415 	189.0 	0.544653123 	24.775282734422944 	95.0 	2.4047792899638933 	17.23227129 	54.0 	0.516309867 	329.0 	2.4340359463311807 	king.27.s018 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s018_a03_M_222 	222 	19.389389 	2.00 	Bulk_201901_UCSD 	2A8 	no 	2A8_3_43_king-27-s018-a04 	2A8_3_43_king-27-s018-a04.mzML 	Sample 	Bulk 	-155.25 	King27.Thermal.2.0.2 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	2604718.0 	551523.0 	155210.0 	King27.Thermal.2.0.2 	3.King27.Thermal.2.0.2 	bulk 	Train 	18 	1 	
SAMEA7723434	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Thermal.1.8_10 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s017 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723434 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:03Z 	public 	qiita_sid_13114:13114.king.27.s017 	7.675007737438136 	16.0 	3.8415272628521095 	king.27.s017 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s017_a03_M_221 	221 	19.389389 	1.00 	Bulk_201901_UCSD 	1H11 	no 	1H11_3_30_king-27-s017-a04 	1H11_3_30_king-27-s017-a04.mzML 	Sample 	Bulk 	-155.25 	King27.Thermal.1.8.10 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	564.0 	201.0 	45.0 	King27.Thermal.1.8.10 	1.King27.Thermal.1.8.10 	bulk 	Test 	17 	1 	
SAMEA7723906	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s016 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723906 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s016 	131.0 	68.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.389389 	2.00 	-155.25 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	16 	
SAMEA7724105	mixed Metrosideros polymorpha forest 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s015 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7724105 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T01:23:53Z 	public 	qiita_sid_13114:13114.king.27.s015 	816.0 	315.0 	201.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.389305 	2.00 	Bulk_201901_UCSD 	-155.2485 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	15 	2 	
SAMEA7723433	mixed Metrosideros polymorpha forest 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Forest.3.0_2 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s014 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723433 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:03Z 	public 	qiita_sid_13114:13114.king.27.s014 	101.4349187700136 	101.4349187700136 	653.0 	4.7012543485658345 	76.94312588 	518.0 	4.364026372 	80.03411670253263 	489.0 	4.685582667625716 	43.57066014 	239.0 	4.220242554 	653.0 	4.7012543485658345 	king.27.s014 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	19.389305 	2.00 	Bulk_201901_UCSD 	2B12 	no 	2B12_3_79_king-27-s014-a03 	2B12_3_79_king-27-s014-a03.mzML 	Sample 	Bulk 	-155.2485 	King27.Forest.3.0.2 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	4384706.0 	123937.0 	19539.0 	King27.Forest.3.0.2 	5.King27.Forest.3.0.2 	bulk 	Train 	14 	2 	
SAMEA7723432	mixed Metrosideros polymorpha forest 	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	King27.Forest.2.8_10 	metagenome 	Puhimau succession study 	qiita_sid_13114:13114.king.27.s013 	soil 	2020-12-17 	2020-12-15 	ERC000011 	SAMEA7723432 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:05Z 	2020-12-15T22:07:03Z 	public 	qiita_sid_13114:13114.king.27.s013 	164.53753015431195 	163.3443126395307 	1188.0 	4.428805097464583 	117.0776703 	923.0 	4.271262696 	51.10000868319411 	361.0 	4.36618790157454 	29.44042367 	204.0 	4.262193165 	1190.0 	4.428893331976773 	king.27.s013 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	EMP sample 	Free-living 	Non-saline 	Soil (non-saline) 	note applicable 	UCSD 	EMP_Feces_king_27_s013_a03_M_219 	219 	19.389305 	2.00 	Bulk_201901_UCSD 	2B5 	no 	2B5_3_55_king-27-s013-a04 	2B5_3_55_king-27-s013-a04.mzML 	Sample 	Bulk 	-155.2485 	King27.Forest.2.8.10 	UCSD Knight Lab Freezer I and Hawai`i 	TRUE 	10892179.0 	1440681.0 	349746.0 	King27.Forest.2.8.10 	7.King27.Forest.2.8_10 	bulk 	Test 	13 	1 	
SAMEA7723905	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s012 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723905 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s012 	456.0 	262.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.389305 	2.00 	-155.2485 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	12 	
SAMEA7723904	1500 	forest biome 	volcanic feature 	soil 	volcanic soil 	soil 	USA: State of Hawaii,Kilauea Volcano	Puhimau succession study 	qiita_sid_13114:13114.king.27.s011 	soil 	2020-12-17 	2020-12-16 	ERC000011 	SAMEA7723904 	UCSDMI 	University of California San Diego Microbiome Initiative 	2020-12-17T04:08:06Z 	2020-12-16T00:39:59Z 	public 	qiita_sid_13114:13114.king.27.s011 	430.0 	273.0 	4/24/14 0:00 	not provided 	King 	27 	Puhimau Hawai'i volcanic soil 	Non-saline 	Soil (non-saline) 	19.389305 	2.00 	-155.2485 	UCSD Knight Lab Freezer I and Hawai`i 	bulk 	11 	
