Run,Env,MHET_Abundance
SRR9691022,wetland,0.691312146
SRR5198900,wetland,0.676981218
SRR15677225,wetland,0.668215217
SRR21120502,wetland,0.664019568
SRR10968141,wetland,0.661873142
SRR5210470,wetland,0.661575918
SRR23315090,wetland,0.661469655
SRR14454019,wetland,0.658918276
SRR23315085,wetland,0.653031051
SRR15677230,wetland,0.639613545
SRR15677233,wetland,0.638119894
SRR20746697,wetland,0.613887853
SRR9691047,wetland,0.603831999
SRR15677227,wetland,0.601726487
SRR9691036,wetland,0.601537297
SRR14454023,wetland,0.570122329
SRR9691044,wetland,0.556735179
SRR15677238,wetland,0.553350586
SRR16547339,wetland,0.536161938
SRR7497728,wetland,0.53578316
SRR16547337,wetland,0.521811605
SRR7497947,wetland,0.503829101
SRR10968282,wetland,0.498158649
SRR15677229,wetland,0.490856127
SRR12418381,wetland,0.479851031
SRR9691051,wetland,0.473654502
SRR15677224,wetland,0.472353733
SRR23272968,wetland,0.4573451
SRR5494513,wetland,0.454000227
SRR5124967,wetland,0.442133236
SRR7498026,wetland,0.441831761
SRR20746681,wetland,0.434241175
SRR10968150,wetland,0.42722819
SRR7498050,wetland,0.427104036
SRR15677240,wetland,0.406751277
SRR15677217,wetland,0.405764656
SRR5124966,wetland,0.394911486
SRR9691054,wetland,0.387925341
SRR9691055,wetland,0.383527004
SRR17651685,wetland,0.379464286
SRR5124969,wetland,0.375691163
SRR15677221,wetland,0.372467223
SRR9691045,wetland,0.366175571
SRR20746691,wetland,0.365307319
SRR11668400,wetland,0.362962865
SRR5124971,wetland,0.351208249
SRR17541633,wetland,0.343749144
SRR5210214,wetland,0.33529332
SRR5124970,wetland,0.327525078
SRR20746693,wetland,0.311976159
SRR15677231,wetland,0.294362452
SRR15677223,wetland,0.277044097
SRR9691058,wetland,0.261882938
SRR14626156,wetland,0.240497419
SRR10375808,wetland,0.234629126
SRR5210468,wetland,0.227289163
SRR13961594,wetland,0.22708982
SRR15677235,wetland,0.220993248
SRR6056278,wetland,0.205
SRR5210466,wetland,0.194644892
SRR21120497,wetland,0.188977364
SRR9691043,wetland,0.184633181
SRR15677234,wetland,0.161175581
SRR9691030,wetland,0.133693432
SRR9691048,wetland,0.118398178
SRR21120499,wetland,0.114009486
SRR21120496,wetland,0.113641017
SRR21120495,wetland,0.103372791
SRR6056279,wetland,0.075722009
SRR22870106,volcano,4.494090519
SRR22870120,volcano,3.289142051
SRR11271802,volcano,2.31126597
SRR22870112,volcano,2.209346153
SRR22870114,volcano,2.148870182
SRR11582169,volcano,2.12007943
SRR11271808,volcano,1.964692483
SRR11271801,volcano,1.956833327
SRR11582142,volcano,1.848286484
SRR11271803,volcano,1.792631689
SRR22870123,volcano,1.153748088
SRR22870124,volcano,1.147603348
SRR22870115,volcano,0.930315386
SRR16768025,volcano,0.897859144
SRR15714818,volcano,0.748112677
SRR11271809,volcano,0.696227929
SRR1971619,volcano,0.613356138
SRR11271805,volcano,0.585132185
SRR22870125,volcano,0.552878268
SRR11271804,volcano,0.548529924
SRR11582168,volcano,0.51688005
SRR16768029,volcano,0.510406063
SRR15714819,volcano,0.476695658
SRR22541067,volcano,0.438230199
SRR11582156,volcano,0.410530191
SRR11582165,volcano,0.395386847
SRR16768026,volcano,0.322296936
SRR22541073,volcano,0.223084736
SRR22541063,volcano,0.218446602
SRR1572169,volcano,0.190682439
SRR22870109,volcano,0.176773218
SRR14209495,volcano,0.12556643
SRR22541071,volcano,0.122632626
SRR22870119,volcano,0.120853476
SRR22870116,volcano,0.089564774
SRR22541070,volcano,0.088273555
SRR11917416,volcano,0.076043645
SRR22541068,volcano,0.064918251
SRR1971623,volcano,0.062446692
SRR14209496,volcano,0.058216265
SRR17012560,rhizosphere,24.83145818
SRR17012564,rhizosphere,20.54544468
SRR17036900,rhizosphere,11.64581901
SRR14458752,rhizosphere,11.38958266
SRR17012561,rhizosphere,10.0572537
SRR23651776,rhizosphere,8.959154837
SRR17036899,rhizosphere,8.829343829
SRR17012565,rhizosphere,8.19110893
SRR23026118,rhizosphere,7.585677848
SRR17710021,rhizosphere,7.017651083
SRR14458722,rhizosphere,6.751011283
SRR14458745,rhizosphere,6.743969055
SRR19161325,rhizosphere,6.522113765
SRR19161324,rhizosphere,6.265605434
SRR23026120,rhizosphere,6.156416409
SRR19161317,rhizosphere,6.145126208
SRR5278471,rhizosphere,5.795178278
SRR17710033,rhizosphere,5.774127486
SRR23026122,rhizosphere,5.567134601
SRR17710022,rhizosphere,5.540562881
SRR23026119,rhizosphere,5.532165327
SRR14458751,rhizosphere,5.432389708
SRR15646758,rhizosphere,5.372078423
SRR16915475,rhizosphere,5.127023125
SRR17710028,rhizosphere,4.869770208
SRR17710026,rhizosphere,4.622017821
SRR16915453,rhizosphere,4.607555741
SRR19161327,rhizosphere,4.595512312
SRR23651777,rhizosphere,4.575633498
SRR17710019,rhizosphere,4.553323044
SRR17710030,rhizosphere,4.515546812
SRR17710029,rhizosphere,4.452575845
SRR17710027,rhizosphere,4.449000029
SRR15646757,rhizosphere,4.335082752
SRR16915471,rhizosphere,4.194298627
SRR23425233,rhizosphere,4.178630114
SRR16915476,rhizosphere,4.085453053
SRR17710032,rhizosphere,4.047152864
SRR14458741,rhizosphere,3.970925593
SRR23651772,rhizosphere,3.9562984
SRR14458747,rhizosphere,3.927289048
SRR16915458,rhizosphere,3.917819104
SRR17710024,rhizosphere,3.886551501
SRR16915451,rhizosphere,3.878313521
SRR17710034,rhizosphere,3.867953077
SRR23026124,rhizosphere,3.840415618
SRR16915474,rhizosphere,3.826143138
SRR23026126,rhizosphere,3.824374122
SRR5278468,rhizosphere,3.775012651
SRR15947154,rhizosphere,3.752144082
SRR14458742,rhizosphere,3.705533597
SRR15646755,rhizosphere,3.687940091
SRR16915459,rhizosphere,3.67514756
SRR20079029,rhizosphere,3.675036568
SRR16915472,rhizosphere,3.639067566
SRR14458743,rhizosphere,3.621372773
SRR16915473,rhizosphere,3.568819351
SRR23026121,rhizosphere,3.553234075
SRR14458749,rhizosphere,3.551347236
SRR16915461,rhizosphere,3.508281307
SRR23026127,rhizosphere,3.496321586
SRR15947149,rhizosphere,3.429325956
SRR16915464,rhizosphere,3.419827282
SRR16915478,rhizosphere,3.30382252
SRR17710020,rhizosphere,3.285271658
SRR23651779,rhizosphere,3.280189155
SRR16798124,rhizosphere,3.279419937
SRR17710025,rhizosphere,3.259039973
SRR14458714,rhizosphere,3.25316401
SRR15646752,rhizosphere,3.22997416
SRR16915463,rhizosphere,3.219879411
SRR17710023,rhizosphere,3.219315895
SRR14458748,rhizosphere,3.168630017
SRR15646759,rhizosphere,3.130236041
SRR17036904,rhizosphere,3.127691645
SRR16915467,rhizosphere,3.070750054
SRR16915465,rhizosphere,3.040943921
SRR23651778,rhizosphere,3.037273143
SRR23026125,rhizosphere,3.022102387
SRR19161322,rhizosphere,2.991155956
SRR16915470,rhizosphere,2.98886709
SRR16915468,rhizosphere,2.981695831
SRR5278467,rhizosphere,2.903127586
SRR20079030,rhizosphere,2.873929583
SRR17036897,rhizosphere,2.867201397
SRR23651774,rhizosphere,2.834817916
SRR14458711,rhizosphere,2.792880511
SRR19161316,rhizosphere,2.730883153
SRR15646751,rhizosphere,2.729788999
SRR15947147,rhizosphere,2.696444113
SRR20079032,rhizosphere,2.692202835
SRR22703643,rhizosphere,2.681598834
SRR16915466,rhizosphere,2.654710551
SRR14458710,rhizosphere,2.648721989
SRR17036902,rhizosphere,2.618750835
SRR22703644,rhizosphere,2.581469501
SRR16915480,rhizosphere,2.554755477
SRR16915462,rhizosphere,2.527833638
SRR19161323,rhizosphere,2.506381901
SRR15646753,rhizosphere,2.492522433
SRR16915452,rhizosphere,2.46028934
SRR16915479,rhizosphere,2.456461303
SRR20079014,rhizosphere,2.451544352
SRR20079013,rhizosphere,2.446781226
SRR16915477,rhizosphere,2.419594773
SRR19161315,rhizosphere,2.37834461
SRR16915457,rhizosphere,2.347361563
SRR15947157,rhizosphere,2.331282446
SRR19161333,rhizosphere,2.319587673
SRR20079012,rhizosphere,2.314744787
SRR14458750,rhizosphere,2.303624966
SRR16915456,rhizosphere,2.293559565
SRR17036901,rhizosphere,2.288329301
SRR16915469,rhizosphere,2.281477927
SRR15646754,rhizosphere,2.273808308
SRR16915460,rhizosphere,2.269229138
SRR19161335,rhizosphere,2.263733523
SRR23651775,rhizosphere,2.256804836
SRR19161319,rhizosphere,2.203506896
SRR15947158,rhizosphere,2.153661793
SRR16915455,rhizosphere,2.112848515
SRR15947148,rhizosphere,2.094605973
SRR16915454,rhizosphere,2.085646937
SRR15646756,rhizosphere,2.034176374
SRR19161320,rhizosphere,2.021438398
SRR22703657,rhizosphere,2.020973679
SRR17710031,rhizosphere,2.017333331
SRR22703651,rhizosphere,1.973873098
SRR17036903,rhizosphere,1.965994435
SRR5278472,rhizosphere,1.964946085
SRR19161332,rhizosphere,1.902343585
SRR20079015,rhizosphere,1.850055011
SRR16798125,rhizosphere,1.848322765
SRR20079020,rhizosphere,1.845491542
SRR22703645,rhizosphere,1.840798768
SRR19161326,rhizosphere,1.824698232
SRR22703646,rhizosphere,1.794903247
SRR20079033,rhizosphere,1.753186861
SRR23651773,rhizosphere,1.718089617
SRR15373726,rhizosphere,1.700087034
SRR16798123,rhizosphere,1.698980425
SRR22703650,rhizosphere,1.673015418
SRR19161334,rhizosphere,1.663113698
SRR14458744,rhizosphere,1.662547832
SRR22703647,rhizosphere,1.606056795
SRR15373728,rhizosphere,1.548368409
SRR16798073,rhizosphere,1.515621074
SRR19161318,rhizosphere,1.482894751
SRR15373727,rhizosphere,1.438352056
SRR22703655,rhizosphere,1.325733715
SRR23725312,rhizosphere,1.288991356
SRR19161330,rhizosphere,1.287756582
SRR20079031,rhizosphere,1.248149296
SRR22703654,rhizosphere,1.232901659
SRR19161321,rhizosphere,1.219587773
SRR16798074,rhizosphere,1.219081613
SRR16798072,rhizosphere,1.194306931
SRR22703641,rhizosphere,1.14346733
SRR22703642,rhizosphere,1.138424154
SRR14458746,rhizosphere,1.099466845
SRR15947152,rhizosphere,1.053953692
SRR19161331,rhizosphere,1.032380024
SRR15947150,rhizosphere,0.984987433
SRR15947155,rhizosphere,0.967204002
SRR15646761,rhizosphere,0.932075595
SRR15646762,rhizosphere,0.926798578
SRR22703652,rhizosphere,0.887800054
SRR23725313,rhizosphere,0.843576067
SRR14458754,rhizosphere,0.809276028
SRR20079019,rhizosphere,0.788539887
SRR22703653,rhizosphere,0.772164802
SRR15947153,rhizosphere,0.763125763
SRR19161329,rhizosphere,0.713290675
SRR22703658,rhizosphere,0.68723428
SRR22703648,rhizosphere,0.65567721
SRR22703656,rhizosphere,0.445246918
SRR14458756,rhizosphere,0.371105232
SRR22703649,rhizosphere,0.367665426
SRR14458755,rhizosphere,0.355922551
SRR20079021,rhizosphere,0.293944738
SRR15646760,rhizosphere,0.244507722
SRR17036898,rhizosphere,0.132893472
SRR8543699,phyllosphere,78.78302129
SRR6056322,phyllosphere,78.57142857
SRR8543695,phyllosphere,62.77363728
SRR4142283,phyllosphere,45.67337632
SRR8543691,phyllosphere,43.1547619
SRR8543692,phyllosphere,28.83928571
SRR6056323,phyllosphere,21.67487685
SRR6987410,phyllosphere,14.21499293
SRR8543694,phyllosphere,12.07142857
SRR6988749,phyllosphere,12.02592739
SRR4142418,phyllosphere,11.94496666
SRR4140277,phyllosphere,11.65072434
SRR6987439,phyllosphere,10.50141911
SRR8543786,phyllosphere,10.49710024
SRR8543701,phyllosphere,10.41666667
SRR6988715,phyllosphere,10.40640394
SRR6988717,phyllosphere,10.08589452
SRR6987782,phyllosphere,9.708249704
SRR6987322,phyllosphere,8.513289037
SRR8543781,phyllosphere,8.388704319
SRR7974393,phyllosphere,8.214649191
SRR8543702,phyllosphere,7.69969278
SRR14517503,phyllosphere,7.62195122
SRR6987783,phyllosphere,7.589285714
SRR6988745,phyllosphere,7.283464567
SRR14517505,phyllosphere,7.273320287
SRR8543792,phyllosphere,7.25931677
SRR8543700,phyllosphere,7.142857143
SRR6988748,phyllosphere,6.560310449
SRR6987320,phyllosphere,6.424889543
SRR4142417,phyllosphere,6.339770963
SRR21860271,phyllosphere,6.115139292
SRR6987546,phyllosphere,5.925324675
SRR6988747,phyllosphere,5.702554745
SRR6987321,phyllosphere,5.488929889
SRR6988716,phyllosphere,5.397217235
SRR8543790,phyllosphere,5.218202923
SRR21860281,phyllosphere,5.035369962
SRR21860267,phyllosphere,5.008715691
SRR8543782,phyllosphere,4.965108235
SRR8543711,phyllosphere,4.933035714
SRR8543777,phyllosphere,4.907084785
SRR6987409,phyllosphere,4.861111111
SRR10145185,phyllosphere,4.721391174
SRR21860283,phyllosphere,4.710826566
SRR21860277,phyllosphere,4.687872065
SRR21860269,phyllosphere,4.566978255
SRR6987407,phyllosphere,4.43452381
SRR6987786,phyllosphere,4.332552693
SRR4140276,phyllosphere,4.251563154
SRR6987548,phyllosphere,4.16818303
SRR6988750,phyllosphere,4.168052553
SRR21860279,phyllosphere,4.061099763
SRR6988746,phyllosphere,3.695558249
SRR8543780,phyllosphere,3.640230173
SRR6050776,phyllosphere,3.63602267
SRR8543709,phyllosphere,3.603896104
SRR4140275,phyllosphere,3.341375753
SRR6987549,phyllosphere,3.327645051
SRR6987470,phyllosphere,3.283052351
SRR21860274,phyllosphere,3.211409825
SRR6987550,phyllosphere,3.190122648
SRR21860275,phyllosphere,3.092250414
SRR8543787,phyllosphere,2.940993193
SRR8543785,phyllosphere,2.83218126
SRR21860270,phyllosphere,2.826513635
SRR4141180,phyllosphere,2.703313705
SRR8543788,phyllosphere,2.583026292
SRR6056335,phyllosphere,2.582644628
SRR21860266,phyllosphere,2.451609171
SRR4142460,phyllosphere,2.329948532
SRR21860268,phyllosphere,2.308252837
SRR21860278,phyllosphere,2.201059707
SRR21860282,phyllosphere,2.158806146
SRR6987551,phyllosphere,2.143286047
SRR6987777,phyllosphere,2.124641605
SRR21860280,phyllosphere,2.123493546
SRR11108969,phyllosphere,2.096496267
SRR4142282,phyllosphere,2.041806347
SRR10127271,phyllosphere,1.944750745
SRR6987775,phyllosphere,1.906135125
SRR21860276,phyllosphere,1.858258929
SRR6987547,phyllosphere,1.753260696
SRR5166355,phyllosphere,1.409735559
SRR14517504,phyllosphere,1.120230701
SRR21860273,phyllosphere,1.081654173
SRR6987778,phyllosphere,1.070319432
SRR10143422,phyllosphere,1.016502634
SRR8543793,phyllosphere,0.943181818
SRR21860272,phyllosphere,0.819854742
SRR14517502,phyllosphere,0.629178933
SRR21860284,phyllosphere,0.609742029
SRR4142430,phyllosphere,0.476764409
SRR8543789,phyllosphere,0.451407329
SRR4142459,phyllosphere,0.420786871
SRR10143175,phyllosphere,0.265731293
SRR21860285,phyllosphere,0.190981927
SRR10143174,phyllosphere,0.144405234
SRR10127267,phyllosphere,0.066414598
ERR2828450,petroleum,108.1951069
SRR14874076,petroleum,13.04735234
SRR12691405,petroleum,11.83507504
SRR2107218,petroleum,4.316748671
ERR2828449,petroleum,4.134800095
SRR2107180,petroleum,3.49660814
SRR2107210,petroleum,3.362225954
SRR2107174,petroleum,3.079918294
SRR2107176,petroleum,2.951471286
SRR9332771,petroleum,2.842295877
SRR2107177,petroleum,2.599243856
SRR2107219,petroleum,2.567820889
SRR2107211,petroleum,2.308062233
SRR2107215,petroleum,2.199364039
SRR2107213,petroleum,2.061122431
SRR2107216,petroleum,2.052623022
SRR2107175,petroleum,1.998829382
SRR12684520,petroleum,1.965894268
SRR14874077,petroleum,1.785714286
SRR2107182,petroleum,1.474510966
SRR13512339,petroleum,1.157379513
SRR13512340,petroleum,0.942483707
SRR13480478,petroleum,0.908156466
SRR2107183,petroleum,0.823126364
SRR14874066,petroleum,0.82010582
SRR2107181,petroleum,0.807026931
SRR13515772,petroleum,0.761186734
SRR2107171,petroleum,0.613026591
SRR13480373,petroleum,0.585052009
SRR13492908,petroleum,0.579529854
SRR13515746,petroleum,0.567445952
SRR13503366,petroleum,0.554534991
SRR14874097,petroleum,0.521068049
SRR2107212,petroleum,0.506957555
SRR14874054,petroleum,0.496603541
SRR2107184,petroleum,0.479036236
SRR2903329,petroleum,0.458359676
SRR14874047,petroleum,0.445326279
SRR2107128,petroleum,0.397709195
SRR14874087,petroleum,0.372874284
SRR14874093,petroleum,0.273164336
SRR13452042,petroleum,0.229056883
SRR2107133,petroleum,0.226330716
SRR7754705,petroleum,0.097810077
SRR23135032,petroleum,0.072886297
SRR12059196,marinesediment,19.04215359
SRR12059192,marinesediment,11.48339215
SRR12886465,marinesediment,5.816422491
ERR5004407,marinesediment,5.338799947
ERR5003101,marinesediment,3.914141414
ERR5004402,marinesediment,3.265306122
ERR5004406,marinesediment,3.020694259
ERR5004404,marinesediment,2.65095729
SRR23337892,marinesediment,2.218895287
ERR5003102,marinesediment,2.212851238
SRR12894172,marinesediment,2.096036585
ERR5002007,marinesediment,1.982029598
SRR18502803,marinesediment,1.899662534
SRR21384359,marinesediment,1.815960912
ERR5004405,marinesediment,1.709027169
SRR12887238,marinesediment,1.597160603
SRR23985278,marinesediment,1.589543525
SRR23985293,marinesediment,1.430415491
SRR23986798,marinesediment,1.314114078
SRR23986967,marinesediment,1.285916998
SRR23986799,marinesediment,1.128373384
SRR23985144,marinesediment,1.087291065
SRR23986966,marinesediment,1.079109734
SRR23986797,marinesediment,1.076668673
SRR23985295,marinesediment,0.891173684
SRR11343835,marinesediment,0.869188705
SRR12887797,marinesediment,0.850575389
SRR23985276,marinesediment,0.842177032
SRR21856587,marinesediment,0.799329764
SRR23985143,marinesediment,0.781006034
SRR12888150,marinesediment,0.708567197
SRR12886462,marinesediment,0.660144937
SRR21856588,marinesediment,0.635777199
SRR23985294,marinesediment,0.62116775
SRR21487739,marinesediment,0.585848194
SRR12883922,marinesediment,0.584347933
SRR23985277,marinesediment,0.543720275
SRR21856590,marinesediment,0.535969837
SRR12358723,marinesediment,0.504309322
SRR23986965,marinesediment,0.494123183
SRR10156266,marinesediment,0.464560337
SRR12358728,marinesediment,0.44810898
SRR23985142,marinesediment,0.429645542
SRR12886464,marinesediment,0.381871905
SRR12068626,marinesediment,0.366800921
SRR10156271,marinesediment,0.366119147
SRR13515397,marinesediment,0.358696001
SRR10375098,marinesediment,0.349738749
