Run,Env,PET_Abundance
SRR11734633,wetland,1.2523452
SRR10968219,wetland,1.246700106
SRR9691044,wetland,1.231077595
SRR11734634,wetland,1.192419597
SRR18694239,wetland,1.183261605
SRR14626312,wetland,1.115266763
SRR23315089,wetland,1.110960391
SRR9656207,wetland,1.103314455
SRR19666940,wetland,1.091022039
SRR11837468,wetland,1.088457159
SRR18694237,wetland,1.08742102
SRR10968155,wetland,1.075247525
SRR7499979,wetland,1.02583781
SRR9691042,wetland,1.023594049
SRR6056296,wetland,1.020391894
SRR14454012,wetland,1.015428013
SRR7497727,wetland,0.996421018
SRR14454025,wetland,0.98593544
SRR15400731,wetland,0.980653268
SRR5124970,wetland,0.972385564
SRR5468418,wetland,0.965109578
SRR19666936,wetland,0.955066237
SRR9691023,wetland,0.948799558
SRR19666938,wetland,0.926930996
SRR5468416,wetland,0.92549671
SRR5476986,wetland,0.925269358
SRR10968218,wetland,0.920638489
SRR9691041,wetland,0.916611759
SRR23315095,wetland,0.916534076
SRR9691045,wetland,0.914365052
SRR5209943,wetland,0.883398612
SRR18694242,wetland,0.859531515
SRR14454010,wetland,0.855311432
SRR16547339,wetland,0.855273007
SRR5817588,wetland,0.849512805
SRR9691047,wetland,0.849135515
SRR9691039,wetland,0.836596485
SRR9691043,wetland,0.829310703
SRR18694241,wetland,0.821745894
SRR9691030,wetland,0.802313211
SRR18694247,wetland,0.799203743
SRR23315093,wetland,0.796866103
SRR17401454,wetland,0.774085881
SRR9691034,wetland,0.770082947
SRR9691026,wetland,0.763760864
SRR22215820,wetland,0.758072064
SRR9691032,wetland,0.756496974
SRR10968147,wetland,0.750332557
SRR9691019,wetland,0.735474361
SRR9691021,wetland,0.729323308
SRR21120495,wetland,0.723609535
SRR18694234,wetland,0.723384082
SRR14454020,wetland,0.704590435
SRR17401461,wetland,0.693827992
SRR5817586,wetland,0.683967749
SRR5209944,wetland,0.681398053
SRR5817589,wetland,0.672237738
SRR10968274,wetland,0.671611868
SRR10968224,wetland,0.669346862
SRR7499980,wetland,0.643333333
SRR12418382,wetland,0.636248677
SRR14626311,wetland,0.632417897
SRR5210470,wetland,0.615839846
SRR15400733,wetland,0.607760636
SRR9691055,wetland,0.602432681
SRR10968156,wetland,0.584140436
SRR10968275,wetland,0.580862216
SRR10968148,wetland,0.570564322
SRR12418379,wetland,0.569290826
SRR10968222,wetland,0.5488512
SRR14454013,wetland,0.537922016
SRR18694245,wetland,0.524066783
SRR11837467,wetland,0.509956289
SRR15400730,wetland,0.494854596
SRR11837370,wetland,0.49161365
SRR14454024,wetland,0.487220138
SRR9691022,wetland,0.483397786
SRR5246785,wetland,0.479210309
SRR5246787,wetland,0.479210309
SRR21120502,wetland,0.478484688
SRR10968272,wetland,0.472934818
SRR9691024,wetland,0.452822688
SRR5209942,wetland,0.445862617
SRR10375808,wetland,0.433637989
SRR11837469,wetland,0.43017869
SRR17401464,wetland,0.415804206
SRR11837471,wetland,0.406115624
SRR14454016,wetland,0.404459231
SRR5817587,wetland,0.385339863
SRR5468417,wetland,0.369590524
SRR6056297,wetland,0.366013014
SRR13961594,wetland,0.354253881
SRR5210466,wetland,0.340628561
SRR20746688,wetland,0.339275041
SRR14454021,wetland,0.326310424
SRR7498026,wetland,0.308451573
SRR14454019,wetland,0.30340888
SRR13961592,wetland,0.29082774
SRR11734660,wetland,0.288982276
SRR15677241,wetland,0.286028994
SRR5198903,wetland,0.285732447
SRR5198900,wetland,0.284572684
SRR10968221,wetland,0.283662716
SRR15400728,wetland,0.280592612
SRR5210210,wetland,0.27100271
SRR5124968,wetland,0.269784173
SRR5476650,wetland,0.263192964
SRR5210208,wetland,0.259810555
SRR11837213,wetland,0.255558395
SRR5246790,wetland,0.250665639
SRR5476985,wetland,0.242175857
SRR11837388,wetland,0.222340606
SRR5246791,wetland,0.2218784
SRR22215818,wetland,0.22072783
SRR17541634,wetland,0.218915703
SRR10968280,wetland,0.215846807
SRR10968281,wetland,0.210766568
SRR11837216,wetland,0.208877285
SRR5198901,wetland,0.207596359
SRR5198902,wetland,0.206968527
SRR11734617,wetland,0.206566645
SRR5494549,wetland,0.199838534
SRR11837737,wetland,0.197174809
SRR10968211,wetland,0.19595227
SRR10968279,wetland,0.192987351
SRR11837470,wetland,0.18767507
SRR17401453,wetland,0.181681494
SRR15677232,wetland,0.181489142
SRR21120497,wetland,0.177011056
SRR15532679,wetland,0.175484018
SRR14454017,wetland,0.172077794
SRR7498056,wetland,0.162106447
SRR5817590,wetland,0.16186902
SRR11837214,wetland,0.16156916
SRR5124967,wetland,0.154746632
SRR19666934,wetland,0.151439715
SRR11837300,wetland,0.148149794
SRR9691038,wetland,0.146109138
SRR21120498,wetland,0.141638585
SRR10968149,wetland,0.139531521
SRR14454003,wetland,0.138639812
SRR14454002,wetland,0.132139476
SRR14454005,wetland,0.117974767
SRR11837389,wetland,0.112663362
SRR19666935,wetland,0.112106618
SRR8191145,wetland,0.110357787
SRR15495778,wetland,0.109427609
SRR11734659,wetland,0.105955426
SRR11837390,wetland,0.096407186
SRR15532678,wetland,0.090585535
SRR15532677,wetland,0.077650373
SRR11837428,wetland,0.069516858
SRR8191144,wetland,0.0537671
SRR11734649,wetland,0.051484501
SRR15532676,wetland,0.048242914
SRR15532675,wetland,0.026757215
SRR22870120,Volcano,22.97512642
SRR22541069,Volcano,15.51970881
SRR22541067,Volcano,15.06027708
SRR22541068,Volcano,13.77560662
SRR22870114,Volcano,13.67558273
SRR22541074,Volcano,6.901530008
SRR22541070,Volcano,6.567817071
SRR22541073,Volcano,6.493203407
SRR11271809,Volcano,5.266903213
SRR22870116,Volcano,3.139213557
SRR22541064,Volcano,2.965750832
SRR22541065,Volcano,2.650242904
SRR11271805,Volcano,2.457555178
SRR11271802,Volcano,2.426829268
SRR22541066,Volcano,2.255225419
SRR22541072,Volcano,1.871372499
SRR11271801,Volcano,1.823104693
SRR22541071,Volcano,1.691892359
SRR22541063,Volcano,1.46900017
SRR22870112,Volcano,1.339341666
SRR11582169,Volcano,1.08722022
SRR11271808,Volcano,0.916856492
SRR11271803,Volcano,0.835062241
SRR11271806,Volcano,0.7956778
SRR22870126,Volcano,0.588469063
SRR11917416,Volcano,0.420506484
SRR22870106,Volcano,0.249543692
SRR6056609,Volcano,0.036358874
SRR14458713,rhizosphere,42.05698943
SRR14458754,rhizosphere,38.49574033
SRR14458733,rhizosphere,34.4990538
SRR14458712,rhizosphere,33.82746929
SRR14458756,rhizosphere,33.66402282
SRR17036897,rhizosphere,33.17401281
SRR14458747,rhizosphere,33.1248299
SRR14458755,rhizosphere,29.45507977
SRR14458751,rhizosphere,29.33343637
SRR14458744,rhizosphere,28.75861648
SRR14458753,rhizosphere,27.88029482
SRR15947147,rhizosphere,24.84229231
SRR17012565,rhizosphere,23.55519747
SRR14458714,rhizosphere,23.53091243
SRR14458750,rhizosphere,23.46840885
SRR14458722,rhizosphere,22.51665031
SRR14458741,rhizosphere,21.98454625
SRR17036898,rhizosphere,21.45749495
SRR14458749,rhizosphere,19.3930637
SRR17036900,rhizosphere,17.87865856
SRR14458752,rhizosphere,17.66448566
SRR15947158,rhizosphere,16.3508907
SRR14458742,rhizosphere,16.26692926
SRR17012561,rhizosphere,15.5679646
SRR14458746,rhizosphere,13.366407
SRR15947157,rhizosphere,13.23740713
SRR17036902,rhizosphere,12.43235172
SRR19161318,rhizosphere,12.34112736
SRR19161324,rhizosphere,12.30388898
SRR17036901,rhizosphere,12.11392643
SRR14458745,rhizosphere,11.99906043
SRR14458711,rhizosphere,11.90404775
SRR15646762,rhizosphere,11.82047743
SRR14458710,rhizosphere,11.76748951
SRR14458748,rhizosphere,11.6737427
SRR17012560,rhizosphere,11.51074769
SRR15646758,rhizosphere,10.32656004
SRR17036903,rhizosphere,9.704952007
SRR15646759,rhizosphere,9.61704124
SRR15646751,rhizosphere,9.402525351
SRR15947149,rhizosphere,9.398802312
SRR15947156,rhizosphere,8.652892562
SRR15947153,rhizosphere,8.263727014
SRR22703648,rhizosphere,8.016334123
SRR17036904,rhizosphere,7.990401835
SRR17012564,rhizosphere,7.970980543
SRR15947148,rhizosphere,7.766973836
SRR17710032,rhizosphere,7.623054776
SRR22703646,rhizosphere,7.364775968
SRR15646760,rhizosphere,7.019801369
SRR22703657,rhizosphere,6.952674291
SRR15947154,rhizosphere,6.931592489
SRR22703655,rhizosphere,6.920467615
SRR22703641,rhizosphere,6.711180644
SRR19161323,rhizosphere,6.663209607
SRR19161327,rhizosphere,6.473516702
SRR17710030,rhizosphere,6.469438341
SRR22703644,rhizosphere,6.418726207
SRR14458743,rhizosphere,6.380987079
SRR15947155,rhizosphere,6.339759337
SRR17036899,rhizosphere,6.177038627
SRR15646761,rhizosphere,6.076693714
SRR22703656,rhizosphere,6.031422981
SRR23725312,rhizosphere,6.011708196
SRR17710033,rhizosphere,5.73421401
SRR17710019,rhizosphere,5.627364241
SRR19161316,rhizosphere,5.540917778
SRR22703649,rhizosphere,5.535718001
SRR23026120,rhizosphere,5.446048588
SRR22703653,rhizosphere,5.433443621
SRR22703650,rhizosphere,5.372409326
SRR19161333,rhizosphere,5.349028373
SRR22703647,rhizosphere,5.240726951
SRR17710027,rhizosphere,5.099154693
SRR22703652,rhizosphere,5.044598699
SRR23651773,rhizosphere,5.012372622
SRR23026126,rhizosphere,4.971301841
SRR23651777,rhizosphere,4.932382147
SRR16915455,rhizosphere,4.915217324
SRR19161319,rhizosphere,4.882033097
SRR22703658,rhizosphere,4.746274366
SRR23651775,rhizosphere,4.738451197
SRR19161317,rhizosphere,4.72940613
SRR17710031,rhizosphere,4.667699298
SRR23651779,rhizosphere,4.652978215
SRR17710023,rhizosphere,4.635532493
SRR23026125,rhizosphere,4.613617402
SRR23425233,rhizosphere,4.606270537
SRR23026124,rhizosphere,4.586490732
SRR17710026,rhizosphere,4.503793568
SRR22703643,rhizosphere,4.462901261
SRR22703654,rhizosphere,4.388305375
SRR19161335,rhizosphere,4.343808032
SRR19161326,rhizosphere,4.27381743
SRR22703642,rhizosphere,4.241097614
SRR15646756,rhizosphere,4.173082847
SRR23026118,rhizosphere,4.014610845
SRR19161334,rhizosphere,3.979719481
SRR23651778,rhizosphere,3.901667913
SRR15646757,rhizosphere,3.857416956
SRR19161315,rhizosphere,3.812338188
SRR15947150,rhizosphere,3.792201617
SRR16915477,rhizosphere,3.66914163
SRR15646755,rhizosphere,3.665727123
SRR23026121,rhizosphere,3.52339836
SRR23026119,rhizosphere,3.515215418
SRR23651772,rhizosphere,3.481799933
SRR22703645,rhizosphere,3.389840909
SRR20079029,rhizosphere,3.363840489
SRR17710021,rhizosphere,3.306384601
SRR15646753,rhizosphere,3.278359366
SRR23026127,rhizosphere,3.276951192
SRR16915454,rhizosphere,3.256751524
SRR17710025,rhizosphere,3.203123091
SRR16798123,rhizosphere,3.197924
SRR17710020,rhizosphere,3.17792988
SRR19161322,rhizosphere,3.154877077
SRR16915478,rhizosphere,3.120347166
SRR19161329,rhizosphere,3.05773906
SRR19161325,rhizosphere,3.006173602
SRR16915473,rhizosphere,2.803241259
SRR16915460,rhizosphere,2.800750413
SRR23651776,rhizosphere,2.783521865
SRR16915466,rhizosphere,2.750212742
SRR15947152,rhizosphere,2.747548244
SRR17710029,rhizosphere,2.721956098
SRR17710034,rhizosphere,2.699042791
SRR22703651,rhizosphere,2.697311755
SRR15646752,rhizosphere,2.691291805
SRR19161330,rhizosphere,2.675717925
SRR19161320,rhizosphere,2.632303559
SRR16915462,rhizosphere,2.627476201
SRR23026122,rhizosphere,2.47152844
SRR15373726,rhizosphere,2.432491983
SRR16915480,rhizosphere,2.406419043
SRR16915456,rhizosphere,2.397202608
SRR16915457,rhizosphere,2.383420337
SRR23651774,rhizosphere,2.354603298
SRR16915479,rhizosphere,2.344813073
SRR17710024,rhizosphere,2.301853926
SRR20079013,rhizosphere,2.282296651
SRR16915459,rhizosphere,2.245389368
SRR16915463,rhizosphere,2.233512268
SRR19161321,rhizosphere,2.202878788
SRR16915467,rhizosphere,2.15929892
SRR16915468,rhizosphere,2.121833036
SRR23725313,rhizosphere,2.066761364
SRR20079030,rhizosphere,1.980431044
SRR16915453,rhizosphere,1.953617519
SRR16798073,rhizosphere,1.870155039
SRR20079033,rhizosphere,1.854749665
SRR16915458,rhizosphere,1.786319935
SRR16915475,rhizosphere,1.784396702
SRR16915469,rhizosphere,1.757430347
SRR20079031,rhizosphere,1.747409014
SRR16915474,rhizosphere,1.717944385
SRR17710028,rhizosphere,1.706393644
SRR20079014,rhizosphere,1.666666667
SRR16915472,rhizosphere,1.640034826
SRR16915464,rhizosphere,1.629911852
SRR16915452,rhizosphere,1.622717188
SRR16915465,rhizosphere,1.5925784
SRR20079019,rhizosphere,1.563937443
SRR15646754,rhizosphere,1.547371689
SRR15373727,rhizosphere,1.382087629
SRR19161332,rhizosphere,1.359575127
SRR16915470,rhizosphere,1.351027757
SRR16915471,rhizosphere,1.288323981
SRR16798124,rhizosphere,1.209795322
SRR16915476,rhizosphere,1.191655912
SRR16915461,rhizosphere,1.123318847
SRR16915451,rhizosphere,1.115841205
SRR20079020,rhizosphere,1.048211898
SRR19161331,rhizosphere,1.011569608
SRR17710022,rhizosphere,0.975108767
SRR16798072,rhizosphere,0.935540429
SRR20079021,rhizosphere,0.823045267
SRR15373728,rhizosphere,0.538335361
SRR20079032,rhizosphere,0.471135496
SRR20079015,rhizosphere,0.461448598
SRR20079012,rhizosphere,0.449820072
SRR16798125,rhizosphere,0.393450635
SRR6056323,phyllosphere,50.57471264
SRR6056322,phyllosphere,47.36842105
SRR6050641,phyllosphere,42.4337232
SRR4141180,phyllosphere,28.68845034
SRR21860277,phyllosphere,25.93351464
SRR4140276,phyllosphere,25.91336241
SRR6056336,phyllosphere,24.56140351
SRR7974395,phyllosphere,19.19179062
SRR21860274,phyllosphere,19.05793319
SRR4142282,phyllosphere,18.59992109
SRR4142460,phyllosphere,17.63718241
SRR4142283,phyllosphere,16.16434485
SRR21860276,phyllosphere,15.14964262
SRR7974393,phyllosphere,14.60836585
SRR4142459,phyllosphere,13.0837032
SRR5166355,phyllosphere,12.85419094
SRR4140275,phyllosphere,12.76741597
SRR6056335,phyllosphere,12.0523416
SRR4142417,phyllosphere,10.94731983
SRR4142430,phyllosphere,10.38715968
SRR21860275,phyllosphere,9.478146968
SRR10127271,phyllosphere,9.251214135
SRR4142418,phyllosphere,8.136417571
SRR10917426,phyllosphere,6.903573468
SRR6050776,phyllosphere,5.831444491
SRR10916587,phyllosphere,4.797149123
SRR10143418,phyllosphere,4.704301075
SRR15809226,phyllosphere,4.516031913
SRR4140277,phyllosphere,3.683109145
SRR6942514,phyllosphere,2.661780548
SRR21860271,phyllosphere,1.34659066
SRR10143174,phyllosphere,0.96373672
SRR21860282,phyllosphere,0.592566517
SRR21860268,phyllosphere,0.38132662
SRR21860281,phyllosphere,0.364215791
SRR21860266,phyllosphere,0.32040941
SRR21860267,phyllosphere,0.319701994
SRR21860269,phyllosphere,0.31026445
SRR21860280,phyllosphere,0.18711704
SRR21860283,phyllosphere,0.098258099
SRR21860270,phyllosphere,0.069929102
SRR10127267,phyllosphere,0.06524943
SRR21860279,phyllosphere,0.059460628
SRR21860278,phyllosphere,0.057705685
SRR21860272,phyllosphere,0.052097263
SRR14140302,petroleum,22.71234871
SRR14140301,petroleum,19.69439961
SRR8379594,petroleum,1.690985876
SRR23135032,petroleum,1.635749801
SRR7754705,petroleum,1.397869016
ERR2828449,petroleum,0.856107234
SRR2107173,petroleum,0.512135758
SRR23135033,petroleum,0.330993445
SRR7754706,petroleum,0.279317497
SRR13492908,petroleum,0.038022235
SRR13452042,petroleum,0.026930804
SRR18502802,marinesediment,103.4202555
ERR5002005,marinesediment,62.0334562
ERR5002009,marinesediment,53.3428165
ERR5002002,marinesediment,40.38590203
SRR12893484,marinesediment,36.70899651
ERR5002003,marinesediment,31.42911826
SRR18502801,marinesediment,22.94535335
SRR12893483,marinesediment,16.62549876
ERR5002007,marinesediment,7.326314027
ERR5004404,marinesediment,6.18556701
SRR12068624,marinesediment,1.619342217
SRR23985295,marinesediment,1.511506276
SRR15039771,marinesediment,1.407683907
SRR23337892,marinesediment,1.295836788
SRR10072863,marinesediment,0.907797789
SRR10156269,marinesediment,0.813087774
SRR23985293,marinesediment,0.620584509
SRR10156267,marinesediment,0.574229692
SRR23985278,marinesediment,0.463460849
SRR23985294,marinesediment,0.383311174
SRR10072857,marinesediment,0.358252126
SRR23986797,marinesediment,0.223919834
SRR10072860,marinesediment,0.223908667
SRR10072859,marinesediment,0.220783782
SRR10072858,marinesediment,0.164653405
SRR23985142,marinesediment,0.159338744
SRR10072862,marinesediment,0.147775072
SRR21856589,marinesediment,0.065926089
SRR21856588,marinesediment,0.03982497
SRR13153329,marine,121.4438122
SRR15530470,marine,83.16916602
SRR15530479,marine,45.80669181
SRR15530465,marine,38.19292641
SRR15530474,marine,33.02633598
SRR20241980,marine,28.24384787
SRR13153330,marine,26.58371485
SRR20241919,marine,25.63119207
SRR15530471,marine,11.55941053
SRR15530467,marine,11.2641149
SRR15530476,marine,10.95772918
SRR13153270,marine,9.449468498
SRR15530472,marine,9.427628656
SRR15530468,marine,8.964373439
SRR15530473,marine,8.661170467
SRR15530466,marine,7.687306293
SRR15530475,marine,7.260309866
SRR20242106,marine,6.711409396
SRR17118850,marine,6.677740864
SRR20241689,marine,6.445073439
SRR17118861,marine,5.876623377
SRR15530469,marine,5.381032324
SRR20242028,marine,4.719214879
SRR20241719,marine,4.452218159
SRR20242082,marine,4.439134809
SRR21430009,marine,4.357805741
SRR21430009,marine,4.357805741
SRR20241693,marine,4.069669366
SRR20241608,marine,3.956195738
SRR20241764,marine,3.764478764
SRR20241922,marine,3.762059564
SRR20241970,marine,3.440124942
SRR13153261,marine,3.341448354
SRR20242062,marine,3.211999751
SRR15530478,marine,3.209669582
SRR15530480,marine,3.173560582
SRR15530477,marine,3.102796144
SRR20241865,marine,3.097893432
SRR20241644,marine,3.049051571
SRR13153352,marine,2.890240516
SRR13153511,marine,2.638345272
SRR23604823,marine,2.537341008
SRR23604823,marine,2.537341008
SRR20241866,marine,2.398496612
SRR13153354,marine,2.198575067
SRR13153521,marine,2.186409354
SRR13153535,marine,2.146246764
SRR13153333,marine,2.118823919
SRR13153532,marine,2.089724214
SRR13153537,marine,2.032986716
SRR23604822,marine,1.822721349
SRR23604822,marine,1.822721349
SRR13153331,marine,1.755584316
SRR13816199,marine,1.723622
SRR13153344,marine,1.601731602
SRR14511832,marine,1.341881275
SRR17940155,marine,1.173490532
SRR13153550,marine,1.132867651
SRR13153296,marine,1.008504212
SRR21430006,marine,0.984199834
SRR21430006,marine,0.984199834
SRR16686516,marine,0.916609506
SRR23604821,marine,0.893062162
SRR23604821,marine,0.893062162
SRR13153355,marine,0.848214286
SRR17940156,marine,0.845987111
SRR13153498,marine,0.807067606
SRR14511887,marine,0.732153752
SRR13153462,marine,0.681706127
SRR13153467,marine,0.652561076
SRR14865843,marine,0.623750859
SRR21430010,marine,0.59176434
SRR21430010,marine,0.59176434
SRR13153443,marine,0.582843499
SRR14511922,marine,0.572860723
SRR13153441,marine,0.563868412
SRR13122192,marine,0.546601699
SRR13153449,marine,0.531653385
SRR13153316,marine,0.528905289
SRR13153334,marine,0.522197897
SRR13122123,marine,0.480815233
SRR13816176,marine,0.468079742
SRR13816155,marine,0.454870863
SRR21430008,marine,0.411472185
SRR21430008,marine,0.411472185
SRR13153466,marine,0.35961318
SRR21430007,marine,0.350794647
SRR21430007,marine,0.350794647
SRR14511923,marine,0.302555597
SRR13153453,marine,0.297371238
SRR14511928,marine,0.289827973
SRR24202172,marine,0.271310714
SRR24202172,marine,0.271310714
SRR23604820,marine,0.26897286
SRR23604820,marine,0.26897286
SRR13153376,marine,0.258055137
SRR14865845,marine,0.257588415
SRR13153460,marine,0.250977155
SRR17940154,marine,0.214688373
SRR14511926,marine,0.200567351
SRR14865844,marine,0.171430925
SRR16028405,marine,0.167225767
SRR19888802,marine,0.154911125
SRR13816154,marine,0.151174941
